geneSymbol	proteinName
USP34	Q70CQ2
EFHD1	Q9BUP0
KCNJ13	O60928
CCT4	P50991
NEU2	Q9Y3R4
EHBP1	Q8NDI1
OTX1	P32242
TXNDC9	O14530
COQ10B	Q9H8M1
GNLY	P22749
SF3B1	O75533
ST3GAL5	Q9UNP4
CHST10	O43529
PDCL3	Q9H2J4
MOBKL3	Q9Y3A3
HSPE1	P61604
KDM3A	Q9Y4C1
PLCD4	Q9BRC7
VPS24	Q9Y3E7
ZNF142	P52746
IL1R2	P27930
PRKAG3	Q9UGI9
SMYD1	Q8NB12
IL1R1	P14778
WNT6	Q9Y6F9
IL1RL2	Q9HB29
IL1RL1	Q01638
IL18R1	Q13478
IL18RAP	O95256
SLC9A2	Q9UBY0
FHL2	Q14192
MLPH	Q9BV36
C2orf24	Q9BV87
UXS1	Q8NBZ7
ABCB6	Q9NP58
STK16	O75716
SLC5A7	Q9GZV3
HDLBP	Q00341
PPP1R7	Q15435
PASK	Q96RG2
STK25	O00506
TPO	P07202
PROC	P04070
ID2	Q02363
TAF1B	Q53T94
HPCAL1	P37235
ODC1	P11926
BIRC6	Q9NR09
NOL10	Q9BSC4
PLEKHB2	Q96CS7
GORASP2	Q9H8Y8
STRN	O43815
CEBPZ	Q03701
PRKD3	O94806
DCAF17	Q5H9S7
QPCT	Q16769
RAB3GAP1	Q15042
SLC25A12	O75746
FAM82A1	Q96LZ7
DLX2	Q07687
LCT	P09848
DARS	P14868
SRSF7	Q16629
SDC1	P18827
PLCL1	Q15111
SLC1A4	P43007
SOS1	Q07889
KYNU	Q16719
WIPF1	O43516
ORC2	Q13416
COX7A2L	O14548
PNO1	Q9NRX1
ORC4	O43929
PLEK	P08567
RND3	P61587
ATF2	P15336
THADA	Q6YHU6
AAK1	Q2M2I8
TRAK2	O60296
C2orf42	Q9NWW7
TIA1	P31483
PCYOX1	Q9UHG3
KISS1R	Q969F8
EPAS1	Q99814
ARID3A	Q99856
SUMO1	P63165
CD207	Q9UJ71
GRIN3B	O60391
VAX2	Q9UIW0
ATP6V1B1	P15313
NFE2L2	Q16236
MSH6	P52701
PLEKHA3	Q9HB20
SPR	P35270
EPHA4	P54764
PARD3B	Q8TEW8
FARSB	Q9NSD9
ALMS1	Q8TCU4
BCL9	O00512
PRRX1	P54821
DHCR24	Q15392
DNAJC16	Q9Y2G8
MARK1	Q9P0L2
TNR	Q92752
MORN1	Q5T089
CACYBP	Q9HB71
SCP2	P22307
TPSG1	Q9NRR2
PAPPA2	Q9BXP8
RALGPS2	Q86X27
ANGPTL1	O95841
KIAA0562	O60308
FAM20B	O75063
C1orf83	Q96MN5
TMEM59	Q9BXS4
LRRC42	Q9Y546
WDR8	Q9P2S5
NPHS2	Q9NP85
MRPL2,MRPL37	Q9BZE1
ICMT	O60725
RPL22	P35268
CHD5	Q8TDI0
QSOX1	O00391
STXBP3	O00186
PHF13	Q86YI8
ERRFI1	Q9UJM3
PARK7	Q99497
KIAA1324	Q6UXG2
OPRD1	P41143
AMPD2	Q01433
SRSF4	Q08170
MECR	Q9BV79
KCNC4	Q03721
EDEM3	Q9BZQ6
WDR77	Q9BQA1
ATP5F1	P24539
RAP1A	P62834
HDAC1	Q13547
CAPZA1	P52907
S100PBP	Q96BU1
RNF19B	Q6ZMZ0
SCAMP3	O14828
TRIM62	Q9BVG3
ASH1L	Q9NR48
SFPQ	P23246
RHOU	Q7L0Q8
GON4L	Q3T8J9
ARHGEF2	Q92974
ROBLD3	Q9Y2Q5
MEF2D	Q14814
DOCK7	Q96N67
SRM	P19623
FBXO2	Q9UK22
FBXO6	Q9NRD1
C1orf21	Q9H246
C1orf26	Q5T5J6
MAD2L2	Q9UI95
DNAJC6	O75061
LEPR	P48357
IVNS1ABP	Q9Y6Y0
KIAA2013	Q8IYS2
MFN2	O95140
PRG4	Q92954
PRG4	Q96GM1
MIIP	Q5JXC2
SMG7	Q92540
NCF2	P19878
PDC	P20941
SLC35D1	Q9NTN3
PLA2G4A	P47712
GADD45A	P24522
PRAMEF1	O95521
PRAMEF12	O95522
WLS	Q5T9L3
PRDM2	Q13029
RGS2	P41220
RPE65	Q16518
TROVE2	P10155
AMPD1	P23109
UCHL5	Q9Y5K5
BCAS2	O75934
SRSF11	Q05519
CTH	P32929
VSIG2,CTH	Q96IQ7
AGMAT	Q9BSE5
OLFML3	Q9NRN5
TNNI3K	Q59H18
CFHR3	Q02985
PLEKHM2	Q8IWE5
CRYZ	Q08257
PHTF1	Q9UMS5
ZBTB17	Q13105
CD58	P19256
TFAP2E	Q6VUC0
CD2	P06729
TTF2	Q9UNY4
NR5A2	O00482
KIF21B	O75037
TMEM9	Q9P0T7
ADPRHL2	Q9NX46
MAP7D1	Q3KQU3
WARS2	Q9UGM6
HAO2	Q9NYQ3
OSCP1	Q8WVF1
MRPS15	P82914
EXOC8	Q8IYI6
GNPAT	O15228
TSNAX	Q99598
C1orf109	Q9NX04
RRAGC	Q9HB90
TBCE	Q15813
NID1	P14543
LGALS8	O00214
NT5C1A	Q9BXI3
HPCAL4	Q9UM19
MTR	Q99707
BMP8B	P34820
MYCL1	P12524
SIPA1L2	Q9P2F8
ZP4	Q12836
RLF	Q13129
KMO	O15229
ZNF684	Q5T5D7
KCNQ4	P56696
RIMS3	Q9UJD0
AKT3	Q9Y243
ETV3	P41162
ACADM	P11310
ST6GALNAC5	Q9BVH7
SLAMF1	Q13291
CD48	P09326
LPHN2	O95490
PADI2	Q9Y2J8
SDHB	P21912
MFAP2	P55001
POU6F2,RPF1	P78424
RPF1	Q9H9Y2
KDM5B	Q9UGL1
UAP1	Q16222
ACTL8	Q9H568
CTBS	Q01459
RGS4	P49798
KLHL12	Q53G59
IGSF21	Q96ID5
SSX2IP	Q9Y2D8
ZNHIT6	Q9NWK9
PLA2G2D	Q9UNK4
RBBP5	Q15291
GBP3	Q9H0R5
GBP1	P32455
KIF17	Q9P2E2
GPR89A	B7ZAQ6
CDK18	Q07002
RAB7L1	O14966
CD160	O95971
TXNIP	Q9H3M7
ECE1	P42892
HMGCL	P35914
GALE	Q14376
ID3	Q02535
CR2	P20023
CD46	P15529
PRPF3	O43395
APH1A	Q96BI3
LEPRE1	Q32P28
SLC2A1	P11166
EBNA1BP2	Q99848
CDC20	Q12834
MPL	P40238
ARTN	Q5T4W7
IPO13	O94829
ATP6V0B	Q99437
B4GALT2	O60909
ERI3	O43414
PTCH2	Q9Y6C5
AKR1A1	P14550
PRDX1	Q06830
PIK3R3	Q92569
TSPAN1	O60635
BLZF1	Q9H2G9
C1orf114	Q5TID7
SLC19A2	O60779
FAAH	O00519
FA2H,FAAH	Q7L5A8
NSUN4	Q96CB9
TMED5	Q9Y3A6
C1orf129	Q5TGP6
DR1	Q01658
FMO6P	O60774
CNN3	Q15417
BAT2L2	Q9Y520
F3	P13726
ABCD3	P28288
VAMP4	O75379
DPH5	Q9H2P9
FASLG	P48023
PTBP2	Q9UKA9
TNFSF4	P23510
PRDX6	P30041
DARS2	Q6PI48
HSD11B1	P28845
IRF6	O14896
C1orf107	Q68CQ4
SERPINC1	P01008
RCAN3	Q9UKA8
SYF2	O95926
C1orf63	Q9BUV0
SLC35A3	Q9Y2D2
RCOR3	Q9P2K3
STMN1	P16949
FAM54B	Q9H019
MAN1C1	Q9NR34
NEK2	P51955
RPS6KA1	Q15418
DHDDS	Q86SQ9
NENF	Q9UMX5
NSL1	Q96IY1
PROX1	Q92786
ARID1A	O14497
CENPF	P49454
RPA2	P15927
PPP1R8	Q12972
STX12	Q86Y82
MOSC2	Q969Z3
SLC5A9	Q2M3M2
OSBPL9	Q96SU4
TXNDC12	O95881
ESYT2	A0FGR8
MESDC2	Q14696
RCN2	Q14257
CHRNB4	P30926
MUC5B	Q9HC84
CTSD	P07339
COLEC11	Q9BWP8
STAG1	Q8WVM7
A4GNT	Q9UNA3
STK11	Q15831
MLL	Q03164
TREH	O43280
MMP8	P22894
APOA1	P02647
ZNF541	Q9H0D2
SLC8A2	Q9UPR5
KPTN	Q9Y664
RPS25	P62851
KIF14	Q15058
TNNT2	P45379
DDX59	Q5T1V6
CAMSAP1L1	Q08AD1
ATF6	P18850
CRYGD	P07320
MREG	Q8N565
TNP1	P09430
FASTKD2	Q9NYY8
NRP2	O60462
CREB1	P16220
KLF7	O75840
TTR	P02766
B4GALT6	Q9UBX8
C1orf54	Q8WWF1
CA14	Q9ULX7
CASC1	Q6TDU7
LRMP	Q12912
ATP10B	O94823
USP34,USP35	Q9P2H5
ELOVL4	Q9GZR5
FILIP1	Q7Z7B0
CASP8AP2	Q9UKL3
HMGN3	Q15651
UBE2CBP	Q7Z6J8
CNR1	P21554
SPACA1	Q9HBV2
ANKRD13C	Q8N6S4
SGIP1	Q9BQI5
PHF3	Q92576
C6orf94	Q5TFG8
C6orf103	Q8N7X0
PLAGL1	Q9UM63
FBXO30	Q8TB52
TNFAIP3	P21580
AKAP7	O43687
AKAP7	Q9P0M2
RAB32	Q13637
MYB	P10242
ALDH8A1	Q9H2A2
SGK1	O00141
RNF146	Q9NTX7
ARG1	P05089
CTGF	P29279
TCF21	O43680
PMFBP1	Q8TBY8
FBXL5	Q9UKA1
MED28	Q9H204
SLC16A7	O60669
TMEM5	Q9Y2B1
ZNF430	Q9H8G1
VAMP8	Q9BV40
DCLRE1B	Q9H816
MYL12B	O14950
FOXO3	O43524
ARMC2	Q8NEN0
GHRH	P01286
RPN2	P04844
TGIF2	Q9GZN2
CASQ2	O14958
OLFM3	Q96PB7
PKD2	Q13563
PRKD2,PKD2	Q9BZL6
ABCG2	Q9UNQ0
SPP1	P10451
STBD1	O95210
CCNI	Q14094
RARRES1	P49788
MFSD1	Q9H3U5
RAB3GAP2	Q9H2M9
FAM86A	Q96G04
PPL	O60437
UBN1	Q9NPG3
KLF12	Q9Y4X4
UCHL3	P15374
PCDH17	O14917
HS1BP3	Q53T59
C2orf43	Q9H6V9
WDR35	Q9P2L0
CCND2	P30279
FGF23	Q9GZV9
ELL2	O00472
DNAH7	Q8WXX0
CYP20A1	Q6UW02
NDUFB3	O43676
GTF3C3	Q9Y5Q9
SATB2	Q9UPW6
UBE2B	P63146
TRPM6	Q9BX84
GDA	Q9Y2T3
KLF9	Q13886
TJP2	Q9UDY2
C2orf40	Q9H1Z8
ITGB1BP1	O14713
CPSF3	Q9UKF6
PIGZ	Q86VD9
SENP5	Q96HI0
CCDC92	Q53HC0
C1orf198	Q9H425
TRIM67	Q6ZTA4
HEATR1	Q9H583
ROD1	O95758
RAD23B	P54727
FKBP15	Q5T1M5
CTNNAL1	Q9UBT7
C9orf6	Q9NX38
WDR34	Q96EX3
SET	Q01105
PPP2R4	Q15257
GLE1	Q53GS7
RAB14	P61106
CEP110	O43303
CEP110	Q7Z7A1
TRIM32	Q13049
FBXW2	Q9UKT8
PHF19	Q5T6S3
NEK6	Q9HC98
BSPRY	Q5W0U4
PPP6C	O00743
NDUFA8	P51970
HDHD3	Q9BSH5
RBM18	Q96H35
SLC46A2	Q9BY10
HSDL2	Q6YN16
MAPKAP1	Q9BPZ7
INVS	Q9Y283
GALNT12	Q8IXK2
DENND1A	Q8TEH3
ALG2	Q9H553
CSF3R	Q99062
KDSR	Q06136
VPS4B	O75351
ONECUT2	O95948
C19orf25	Q9UFG5
ZBTB45	Q96K62
YLPM1	P49750
DCAF4	Q8WV16
PROX2	Q3B8N5
VSX2	P58304
FCF1	Q9Y324
PGF	P49763
IFI27L2	Q9H2X8
C14orf45	Q8ND07
ACYP1	P07311
C14orf179	Q96FT9
NPC2	P61916
DNAL1	Q4LDG9
DNAH9,DNAL1	Q9NYC9
C14orf4	Q9H1B7
ACOT2	P49753
KIAA0317	O15033
MLH3	Q9UHC1
TTLL5	Q6EMB2
FLVCR2	Q9UPI3
ABCD4	O14678
DLST	P36957
PPP4R4	Q6NUP7
TGFB3	P10600
FAM164C	Q53FD0
C14orf156	Q9GZT3
RBM25	P49756
ALDH6A1	Q02252
GPR68	Q15743
ESRRB	O95718
EIF2B2	P49770
C14orf102	Q9H7Z3
COQ6	Q9Y2Z9
ZNF410	Q86VK4
RHOQ	P17081
GPR75	O95800
SUPT7L	O94864
KLHL29	Q96CT2
DNMT3A	Q9Y6K1
TMEM214	Q6NUQ4
ATAD2B	Q9ULI0
ATL2	Q8NHH9
YPEL5	P62699
FAM98A	Q8NCA5
YIPF4	Q9BSR8
AFTPH	Q6ULP2
CNRIP1	Q96F85
BCL11A	Q9H165
CRIPT	Q9P021
EPCAM	P16422
SLC17A5	Q9NRA2
OGFRL1	Q5TC84
FAM178A	Q8IX21
IDE	P14735
TECTB	Q96PL2
ELOVL3	Q9HB03
IFIT3	O14879
NKX2-3	Q8TAU0
IFIT2	P09913
GPAM	Q9HCL2
CUTC	Q9NTM9
PPP1R3C	Q9UQK1
PYROXD2	Q8N2H3
CNNM1	Q9NRU3
MXI1	P50539
SMNDC1	O75940
C10orf88	Q9H8K7
HELLS	Q9NRZ9
PRLHR	P49683
TCTN3	Q6NUS6
FAM45A	Q8TCE6
AVPI1	Q5T686
WDR11	Q9BZH6
C10orf76	Q5T2E6
KCNIP2	Q9NS61
CCDC147	Q5T655
GOT1	P17174
CPN1	P15169
C10orf95	Q9H7T3
SFRP5	Q5T4F7
GNA13	Q14344
HOXB8	P17481
NSL1,KIAA1267	Q7Z3B3
HOXB5	P09067
HOXB7	P09629
CRHR1	P34998
HOXB3	P14651
HOXB1	P14653
DUSP1	P28562
PANK3	Q9H999
MSX2	P35548
TEK	Q02763
RCL1	Q9Y2P8
C9orf82	Q9H8G2
C9orf11	Q9NQ60
RIF1,INSL6	Q9Y581
INSL4	Q14641
MLANA	Q16655
CD274	Q9NZQ7
IFNA6	P05013
IFNA8	P32881
GRIA2	P42262
NUP43	Q8NFH3
MTHFD1L	Q6UB35
LRP11	Q86VZ4
C6orf97	Q8IYT3
PCMT1	P22061
PLEKHG1	Q9ULL1
MYCT1	Q8N699
CXorf21	Q9HAI6
MAGEB4	O15481
C5orf32	Q9H1C7
WDR55	Q9H6Y2
ARAP3	Q8WWN8
PCDHB8	Q9UN66
PCDHB10	Q9UN67
PCDHB14	Q9Y5E9
PCDHB12	Q9Y5F1
SLC25A2	Q9BXI2
TNN	Q9UQP3
MRPS14	O60783
CENPL	Q8N0S6
TNFSF18	Q9UNG2
SEC16B	Q96JE7
GORAB	Q5T7V8
GPR31	O00270
ACAT2	Q9BWD1
TCP1	P17987
TTLL2	Q9BWV7
SNX19	Q92543
KCNJ5	P48544
C11orf61	Q6P1R3
TP53AIP1	Q9HCN2
TEX11	Q8IYF3
ARR3	P36575
PDZD11	Q5EBL8
SLC10A7	Q0GE19
NUDCD1	Q96RS6
ENY2	Q9NPA8
MASTL	Q96GX5
KIAA1217	Q5T5P2
LYZL1	Q6UWQ5
PLXDC2	Q6UX71
EPC1	Q9H2F5
IQSEC3	Q9UPP2
CCDC77	Q9BR77
ENOX1	Q8TC92
TNFSF11	O14788
MTRF1	O75570
SOHLH2	Q9NX45
DNAJC15	Q9Y5T4
C13orf23	Q86XN7
UFM1	P61960
WBP4	O75554
ELF1	P32519
SMAD9	O15198
HSPH1	Q92598
KBTBD7	Q8WVZ9
ALG5	Q9Y673
EXOSC8	Q96B26
ETF1	P62495
TGFBI	Q15582
FAM53C	Q9NYF3
SIL1	Q9H173
PAIP2	Q9BPZ3
MYOT	Q9UBF9
KDM3B	Q7LBC6
EGR1	P18146
SERP1	Q9Y6X1
PLS1	Q14651
ZFP30	Q9Y2G7
NR2C1	P13056
UTP20	O75691
TMPO	P42166
TMPO	P42167
ARL1	P40616
GLT8D2	Q9H1C3
MTERFD3	Q49AM1
SOCS2	O14508
NFYB	P25208
GOLGA2B	Q9HBQ8
CCDC53	Q9Y3C0
APAF1	O14727
DUSP4	Q13115
CLU	P10909
TNFRSF10B	O14763
SORBS3	O60504
PTK2B	Q14289
CHRNA2	Q15822
ADRA1A	P35348
PPP3CC	P48454
PDLIM2	Q96JY6
EPHX2	P34913
RNF170	Q96K19
NPPB	P16860
UBIAD1	Q9Y5Z9
TARDBP	Q13148
TNFRSF8	P28908
PRAMEF2	O60811
ZNF706	Q9Y5V0
LYPLA1	O75608
CRISPLD1	Q9H336
COPS5	Q92905
RDH10	Q8IZV5
AKAP1	Q92667
COIL	P38432
TRIM25	Q14258
SCPEP1	Q9HB40
SPOP	O43791
TBX2	Q13207
SLC35B1	P78383
TBX4	P57082
DYNLL2	Q96FJ2
TEX14	Q8IWB6
FAM117A	Q9C073
NCAPH	Q15003
LRAT	O95237
KIAA0922	A2VDJ0
MND1	Q9BWT6
TRIM6	Q9C030
ABCC11	Q96J66
PAPD5	Q8NDF8
ADCY7	P51828
CCDC123	Q96ST8
TSHZ3	Q63HK5
ECHDC2	Q86YB7
TAS2R8	Q9NYW2
PLBD1	Q6P4A8
TAS2R10	Q9NYW0
PRB2	P02812
PYROXD1	Q8WU10
IAPP	P10997
KCNJ8	Q15842
TAS2R7	Q9NYW3
BCL2L14	Q9BZR8
TAS2R9	Q9NYW1
PSPC1	Q8WXF1
ZNF549	Q6P9A3
A1BG	P04217
ZSCAN18	Q8TBC5
ZNF211	Q13398
PDZRN3	Q9UPQ7
RGSL1	A5PLK6
LHX4	Q969G2
C1orf25	Q7Z2T5
SEC22A	Q96IW7
CSTA	P01040
DPPA4	Q7L190
POPDC2	Q9HBU9
B4GALT4	O60513
NAA50	Q9GZZ1
CD80	P33681
KIF18A	Q8NI77
GJA8	P48165
PPPDE1	Q9BSY9
MAPK8IP1	Q9UQF2
CRY2	Q49AN0
PEX16	Q9Y5Y5
DEPDC7	Q96QD5
CAT	P04040
PILRB	Q9UKJ0
ZMYM2	Q9UBW7
GJB6	O95452
GJA3	Q9Y6H8
TBC1D15	Q8TC07
BAI2	O60241
HCRTR1	O43613
ZCCHC17	Q9NP64
FABP3	P05413
KHDRBS1	Q07666
TMEM39B	Q9GZU3
CCR6,CCRL2	O00421
CCR2	P41597
RNF115	Q9Y4L5
POLR3GL	Q9BT43
GHSR	Q92847
TNFSF10	P50591
ZNF639	Q9UID6
SLITRK3	O94933
PIK3CA	P42336
PDS5A	Q29RF7
TMEM156	Q8N614
LIAS	O43766
CPXM2	Q8N436
TMEM54	Q969K7
ZSCAN20	P17040
CSMD2	Q7Z408
HPCA	P84074
RIF1,C1orf103	Q5T3J3
ADORA3	P0DMS8
CLCC1	Q96S66
GPSM2	P81274
GTDC1	Q4AE62
CXCR4	P61073
ZRANB3	Q5FWF4
ACVR2A	P27037
POLK	Q9UBT6
SV2C	Q496J9
FLT3	P36888
RPL21	P46778
MTIF3	Q9H2K0
GTF3A	Q92664
RASL11A	Q6T310
UBL3	O95164
FYTTD1	Q96QD9
MTERFD2	Q7Z6M4
XPNPEP2	O43895
SASH3	O75995
OCRL	Q01968
PAEP	P09466
OBP2A	Q9NY56
MRPS2	Q9Y399
TBX22	Q9Y458
FMOD	Q06828
MYOG	P15173
LAX1	Q8IWV1
PLG	P00747
KIAA1191	Q96A73
COPA	P53621
CD244	Q9BZW8
LY9	Q9HBG7
HS3ST2	Q9Y278
RBBP6	Q7Z6E9
ZC3H7A	Q8IWR0
PRM2	P04554
SERAC1	Q96JX3
ANXA11	P50995
LDB3	O75112
OPN4	Q9UHM6
FAM35A	Q86V20
C10orf58	Q9BRX8
ZNF205	O95201
NAT15	Q9H7X0
RPL5	P46777
ODF2L	Q9ULJ1
PTGFR	P43088
SPATA1	Q5VX52
CCDC76	Q9NUP7
LRRC39	Q96DD0
RWDD3	Q9Y3V2
ZNF644	Q9H582
CCDC18	Q5T9S5
RPAP2	Q8IXW5
PQLC1	Q8N2U9
NBPF14	Q5TI25
BBS9	Q3SYG4
PMS2	P54278
ZMIZ2	Q8NF64
OCM	P0CE72
EEPD1	Q7L9B9
KIAA0087	Q14695
KLHL7	Q8IXQ5
HERPUD2	Q9BSE4
CBX3	Q13185
HNRNPA2B1	P22626
WIPF3	A6NGB9
NXPH1	P58417
NPY	P01303
FAM126A	Q9BYI3
HOXA7	P31268
INHBA	P08476
FKBP9	O95302
FKBP1B,FKBP9	P68106
NT5C3	Q9H0P0
ARL4A	P40617
CCZ1	P86791
POLM	Q9NP87
RAMP3	O60896
FTSJ2	Q9UI43
TWIST1	Q15672
SMU1	Q2TAY7
GLIPR2	Q9H4G4
MCART1	Q9H1U9
CLTA	P09496
RECK	O95980
SPINK4	O60575
OR2S2	Q9NQN1
TAF1L	Q8IZX4
ACO1	P21399
KIAA1045	Q9UPV7
DNAI1	Q9UI46
DCAF10	Q5QP82
CNTFR	P26992
KIAA1549	Q9HCM3
TRIM24	O15164
C7orf49	Q9BWK5
CAD,CALD1	Q05682
AKR1D1	P51857
NUDT10	Q8NFP7
NEUROG3	Q9Y4Z2
PLAU	P00749
SRGN	P10124
CHST3	Q7LGC8
BICC1	Q9H694
CISD1	Q9NZ45
EGR2	P11161
ECD	O95905
P4HA1	P13674
GDA,SLC25A16	P16260
ZWINT	O95229
VPS26A	O75436
RBM19	Q9Y4C8
CIT	O14578
IFT81	Q8WYA0
ACADS	P16219
HVCN1	Q96D96
DDX54	Q8TDD1
MED13L	Q71F56
CDKN2C	P42773
RNF11	Q9Y3C5
RASSF8	Q8NHQ8
BHLHE41	Q9C0J9
SSPN	Q14714
ITPR2	Q14571
CCDC91	Q7Z6B0
NECAB1	Q8N987
WWP1	Q9H0M0
ACOT9	Q9Y305
PRDX4	Q13162
DDX39	O00148
C19orf43	Q9BQ61
CD97	P48960
WDR83	Q9BRX9
GIPC1	O14908
ACTRT1	Q8TDG2
CCDC70	Q6NSX1
C13orf1	Q5W111
EBPL	Q9BY08
ATP7B	P35670
ZC3H13	Q5T200
NLN	Q9BYT8
CENPK	Q9BS16
OPTN	Q96CV9
ITIH5	Q86UX2
ATF1	P18846
TSFM	P43897
NEUROD4	Q9HD90
ARHGAP9	Q9BRR9
NCKAP1L	P55160
MMP19	Q99542
PFDN5	Q99471
SPATS2	Q86XZ4
ORMDL2	Q53FV1
NR4A1	P22736
PDE1B	Q01064
HOXC13	P31276
CDK2	P24941
LRP1	Q07954
HOXC11	O43248
C12orf44	Q9BSB4
NFE2	Q16621
HOXC12	P31275
IKZF4	Q9H2S9
SMUG1	Q53HV7
TUBA1B	P68363
FAM119B	Q96AZ1
KBTBD4	Q9NVX7
SARDH	Q9UL12
DBH	P09172
ATPAF1	Q5TC12
STIL	Q15468
HJURP	Q8NCD3
IL13RA2	Q14627
COL10A1	Q03692
AMD1	P17707
NDUFAF4	Q9P032
USP45	Q70EL2
PLP1	P60201
SERPINA7	P05543
MORF4L2	Q15014
H2BFWT	Q7Z2G1
RAB9B	Q9NP90
FAM199X	Q6PEV8
ESX1	Q8N693
ATXN3L	Q9H3M9
RAB9A	P51151
METTL8	Q9H825
TTC21B	Q7Z4L5
NMI	Q13287
TNFAIP6	P98066
ACVR1C	Q8NER5
BAZ2B	Q9UIF8
SLC36A1	Q7Z2H8
LPGAT1	Q92604
BATF3	Q9NR55
G0S2	P27469
KCNJ2	P63252
RAP2C	Q9Y3L5
EXOSC9	Q06265
PLA2G12A	Q9BZM1
B9D2	Q9BPU9
ADCK4	Q96D53
PFKFB2	O60825
C4BPA	P04003
C4BPB	P20851
RAB38	P57729
GPR83	Q9NYM4
EIF2C2	Q9UKV8
MXD4	Q14582
CKS2	P33552
WDR69	Q8N136
ACSL3	O95573
CHPF	Q8IZ52
DAP,DNPEP	Q9ULA0
INHA	P05111
MOGAT1	Q96PD6
OBSL1	O75147
FAM124B	Q9H5Z6
SLC12A4	Q9UP95
C16orf48	Q9H0I2
MC3R	P41968
GCNT7	Q6ZNI0
CTCFL	Q8NI51
C20orf108	Q96KR6
PI3	P19957
C20orf106	Q5JX71
SNX21	Q969T3
SLPI	P03973
WFDC3	Q8IUB2
TTPAL	Q9BTX7
PREX1	Q8TCU6
KCNS1	Q96KK3
SLC12A5	Q9H2X9
ARHGAP40	Q5TG30
SDC4	P31431
PIGT	Q969N2
SEMG1	P04279
MATN4	O95460
NCOA5	Q9HCD5
VAPB	O95292
PARD6B	Q9BYG5
ATP5E	P56381
CHD5,CHD6	Q8TD26
PLCG1	P19174
TOX2	Q96NM4
SRSF6	Q13247
GDAP1L1	Q96MZ0
GTSF1L	Q9H1H1
ARFGEF2	Q9Y6D5
ZNFX1	Q9P2E3
ZNF831	Q5JPB2
EDN3	P14138
CSE1L	P55060
RAB22A	Q9UL26
PTGIS	Q16647
STAU1	O95793
CDH26	Q8IXH8
SNAI1	O95863
MOCS3	O95396
STX16	O14662
PPP4R1L	Q9P1A2
STAG1,PMEPA1	Q969W9
RNF114	Q9Y508
ANKRD60	Q9BZ19
DDX27	Q96GQ7
RBPJL	Q9UBG7
C20orf85	Q9H1P6
BCAS4	Q8TDM0
KCNK15	Q9H427
TP53TG5	Q9Y2B4
PCK1	P35558
ZBP1	Q9H171
NEURL2	Q9BR09
MAGEA10	P43363
MTRR	Q9UBK8
FASTKD3	Q14CZ7
PEPD	P12955
CHST8	Q9H2A9
IQSEC2	Q5JU85
VAMP7	P51809
IL9R	Q01113
XG	P55808
STAMBP	O95630
NAGK	Q9UJ70
MCEE	Q96PE7
PAIP2B	Q9ULR5
SNRNP27	Q8WVK2
MPHOSPH10	O00566
IL17C	Q9P0M4
ATP8A1	Q9Y2Q0
USP22	Q9UPT9
POF1B	Q8WVV4
HIF3A	Q9Y2N7
ZNF576	Q9H609
IRGC	Q6NXR0
ZNF45	Q02386
LYPD3	O95274
PSG8	Q9UQ74
CEACAM8	P31997
NDP	Q00604
USP9X	Q93008
CRISP2	P16562
F13A1	P00488
GRM4	Q14833
TRERF1	Q96PN7
PACSIN1	Q9BY11
BTN2A2	Q8WVV5
SIRT5	Q9NXA8
MRS2	Q9HD23
WRNIP1	Q96S55
RRP36	Q96EU6
BTN1A1	Q13410
SNRPC	P09234
SLC17A3	O00476
SLC17A1	Q14916
SERPINB6	P35237
XPO5	Q9HAV4
ABCC10	Q5T3U5
HIST1H1D	P16402
HIST1H4G	Q99525
PEX6	Q13608
NQO2	P16083
PRICKLE4	Q2TBC4
C6orf130	Q9Y530
UNC5CL	Q8IV45
AARS2	Q5JTZ9
HIST1H1A	Q02539
ZNF391	Q9UJN7
RPS10	P46783
MOCS1	Q9NZB8
MED20	Q9H944
OR2B6	P58173
TBCC	Q15814
SPDEF	O95238
TCP11	Q8WWU5
MAD2L1BP	Q15013
APOBEC2	Q9Y235
KLHDC3	Q9BQ90
GNMT	Q14749
DNAH8	Q96JB1
TREM1	Q9NP99
MEA1	Q16626
KLHL31	Q9H511
COL21A1	Q96P44
CDKN1A	P38936
SOX4	Q06945
GLO1	Q04760
CPNE5	Q9HCH3
KCNK17	Q96T54
RREB1	Q92766
SSR1	P43307
RIOK1	Q9BRS2
NRN1	Q9NPD7
SLC35B3	Q9H1N7
RPP40	O75818
ATXN1	P54253
NUP153	P49790
DEK	P35659
EEF1E1	O43324
CRISP1	P54107
RUNX2	Q13950
OPN5	Q6U736
GCM2	O75603
LRRFIP1	Q32MZ4
RAB17	Q9H0T7
CXCL6	P80162
EREG	O14944
SPRYD5	Q9BSJ1
C11orf9	Q9Y2G1
SCGB1D2	O95969
SCGB2A1	O75556
AHNAK	Q09666
TMEM111	Q9P0I2
SSUH2	Q9Y2M2
WNT1	P04628
SH3TC1	Q8TE82
CNOT1	A5YKK6
LRRC29	Q8WV35
BBS2	Q9BXC9
C16orf70	Q9BSU1
GOT2	P00505
DOK4	Q8TEW6
PIWIL1	Q96J94
GPR18	Q14330
CLYBL	Q8N0X4
TMTC4	Q5T4D3
RAP2A	P10114
SLC10A2	Q12908
ABCC4	O15439
EFNB2	P52799
SOX21	Q9Y651
TM9SF2	Q99805
C17orf53	Q8N3J3
